"Trampling Species Data Matrix - Species Percent Cover Estimates by Site, Transect and Plot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,combined with D. sitchensis-delete,,,,,,,,,,,,,,,,,NO OBS,,,,,,,,Deleted D. alpinum and combined here,,,,,,,,Bryo sp 9 - R. elongatum is a synonym for Niphotrichum elongatum. Connor says call them all Niphotricum sp - so group racomitrium with Niphotrichum in to single sp,Newly created col,Newly created col,,Added values from Moss 3,,,,,,,Newly created col,,,,,,Newly created col,,,,,,Newly created - Bryo sp. 6 - changed to M lyalli,,,,
This sheet for raw data before resolving species and contains comments and notes; NH updated with CGW moss sample id's (Sept 27),,,,,,,,,,,,,,,,,,,,https://docs.google.com/document/d/1FtDi-7UvKW_FX68b8Dq9BlUk8qLasa10GXESoJib8gM/edit?usp=sharing,,,,,,,,,Non-native sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,moss,moss,combine with bare soil,combine with litter,combine with bare rock w soil,combine with litter covered soil,combine with soil,moss,moss,moss,moss,moss,moss,,liverwort,moss,moss,liverwort,moss,moss,moss,moss,moss,moss,moss,moss,,moss,moss,moss,moss,,,,
28-Jul,ND,"NH, ND",,far,1,phy/vac,PV,phy/vac/cas,1581,8,1,TM,1.4,4,8,TM-4,158,38,,10,25,50,45,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Jul,ND,"NH, ND","Exobasidium cassiopes, branches of ABILAS, ",far,1,phy/vac,PV,phy/vac/cas,1581,8,1,TM,1.4,4,9,TM-4,159,39,,15,25,30,50,60,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Jul,ND,"NH, ND","branches ABILAS, bryo 2 ropey,",far,1,phy/vac,PV,phy/vac/cas,1581,8,1,TM,1.4,4,10,TM-4,160,40,,5,30,15,90,5,,1,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-Aug,TM,"TM, NK, CW (bryos)","ABILAS life stages not recorded, Barbiliphosia hatcheri was written down but no percent cover recorded; assuming it was seen and missed recording",near,0,Phyllodoce/Vaccinium/Cassiope,PVC,vac/phy/cas,1587.8,11,1,TM,1.5,5,1,TM-5,21,41,,20,10,15,15,0.5,0.5,0.5,0.5,,0.5,1,,0.5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,0.5,,,,,1,0.5,,,,,,,,,,,,,,,,,,
03-Aug,TM,"TM, NK, CW (bryos)","2 ABILAS, TSUMER 1,",near,0,Phyllodoce/Vaccinium/Cassiope,PVC,vac/phy/cas,1587.8,11,1,TM,1.5,5,2,TM-5,22,42,,25,5,10,20,0.5,0.5,0.5,0.5,,0.5,0.5,,,,,,,,,,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,0.5,,,,,10,,,0.5,,,,,0.5,,,0.5,1,,,,,,,,,,,,,,,,,,
03-Aug,TM,"TM, NK, CW (bryos)",TSUMER overhang,near,0,Phyllodoce/Vaccinium/Cassiope,PVC,vac/phy/cas,1587.8,11,1,TM,1.5,5,3,TM-5,23,43,,15,25,10,70,,,0.5,0.5,,0.5,10,0.5,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,5,,,,,10,,,,,1,,,,,,0.5,,,,1,,,,,,,,,,,,,,,
03-Aug,TM,"TM, NK, CW (bryos)",TSUMER overhang,near,0,Phyllodoce/Vaccinium/Cassiope,PVC,vac/phy/cas,1587.8,11,1,TM,1.5,5,4,TM-5,24,44,,10,10,20,20,5,0.5,0.5,0.5,,0.5,1,0.5,,,,,,,,,,1,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,10,,,5,,,,,,10,,0.5,0.5,,,5,,,,,,,,,,,,,,,
03-Aug,TM,"TM, NK, CW (bryos)",ABILAS 1,near,0,Phyllodoce/Vaccinium/Cassiope,PVC,vac/phy/cas,1587.8,11,1,TM,1.5,5,5,TM-5,25,45,,5,5,5,25,0.5,0.5,,0.5,,0.5,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,0.5,,0.5,10,,0.5,1,,,1,,,,,,,,,,,,,,,
03-Aug,TM,"TM, NK, CW (bryos)"," ABILAS 1, 0.5 of a Racometrium spp too young to ID to spp. ",near,0,Phyllodoce/Vaccinium/Cassiope,PVC,vac/phy/cas,1587.8,11,1,TM,1.5,5,6,TM-5,26,46,,15,5,10,30,1,,1,0.5,,0.5,1,,0.5,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,1,,,,,,25,,,,,,1,,,,,,,,,,,,,,,
03-Aug,TM,"TM, NK, CW (bryos)", ABILAS 1,near,0,Phyllodoce/Vaccinium/Cassiope,PVC,vac/phy/cas,1587.8,11,1,TM,1.5,5,7,TM-5,27,47,,15,15,5,25,1,0.5,0.5,0.5,,0.5,1,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,5,,,,,,,,10,,,,,,15,,1,,,,,,,,,,,,,,,,,,,
03-Aug,TM,"TM, NK, CW (bryos)",ABILAS 2,near,0,Phyllodoce/Vaccinium/Cassiope,PVC,vac/phy/cas,1587.8,11,1,TM,1.5,5,8,TM-5,28,48,,15,15,10,20,,0.5,,0.5,,0.5,5,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,10,0.5,1,,,,,,,,,,,,,,,,,,,
03-Aug,TM,"TM, NK, CW (bryos)",,near,0,Phyllodoce/Vaccinium/Cassiope,PVC,vac/phy/cas,1587.8,11,1,TM,1.5,5,9,TM-5,29,49,,15,15,15,30,,1,0.5,1,,0.5,10,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,15,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-Aug,TM,"TM, NK, CW (bryos)","ABILAS 1, TSUMER 1",near,0,Phyllodoce/Vaccinium/Cassiope,PVC,vac/phy/cas,1587.8,11,1,TM,1.5,5,10,TM-5,30,50,,40,20,10,30,0.5,5,,,,5,,,,,,,,,,,,10,,0.5,,,,,,,,,,,,,,,,,,,,1,,,,,5,,,1,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,
03-Aug,"NH, AD","NH, PE, AD, CW",Both Brachythecium species were present in this transect - eryth and alb,far,1,Phyllodoce/Vaccinium/Cassiope,PVC,phy/vac/cas,1588,11,1,TM,1.6,6,1,TM-6,161,51,,1,5,70,35,,0.5,0.5,5,,,,,15,,,,5,,,,,,,,0.5,,,,,,,,,,,,1,,,,,,,,,,,,,,,20,,,,,,,,1,,1,,,,,,,,,,,,,,,,,
