treatment,commun,site,transect,altitude,slope,quad,trans.pair,trans.no,antmed,antros,antumb,arnlat,callep,caspar,dipsit,epiana,erigla,erygra,hietri,leppyr,luepec,luparc,mictol,penpro,potfla,pusocc,ranesc,solmul,tonlya,valsti,verwor,agrcap,danint,fesbra,poaalp,vahatr,carhas,carnar,carnig,carspe,schacu,jundru,luzpip,aulpal,braspp,bryosp1,bryosp2,bucsud,cerpur,dicoly,dicpal,ditspp,meilya,nipelo,nipmut,nippyg,phifon,pohnut,polpil,polspp,rhysqu,rhyrob,scioed,strcon,barhat,lopven,crust,vacmem,vacova,casmer,gauhum,kalmic,phyemp,phygla,phyint,salbar,salcom,sorsit,abilas,tsumer,soil,litter,rock
far,phy/vac/cas,1,TM-6,1588,11,7,3,6,,,,,15,,,,0.5,,,0.5,,,,,15,,,,,,,,5,,,0.5,,,,,,,,10,,,,,,,,,,,,,,,,,0.5,,,,5,,,,10,1,,0.5,25,,,20,,,,,,,
far,phy/vac/cas,1,TM-6,1588,11,8,3,6,,,,,1,,,,,,,15,0.5,,,,5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,,,30,,,15,,,5,,,,
far,phy/vac/cas,1,TM-6,1588,11,9,3,6,,,,,,,5,,,,,5,0.5,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,,,5,,,5,,,50,70,,,
far,phy/vac/cas,1,TM-6,1588,11,10,3,6,,,,,,,5,,,,,,10,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,10,,,1,,,,,,,,,,,1,,10,,20,20,,5,20,,,,,,,,,10,
near,phy/vac/cas,1,TM-7,1668.5,3,1,4,7,,,,,,,1,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,5,,,20,,,,,,,,70,,
near,phy/vac/cas,1,TM-7,1668.5,3,2,4,7,,,,,,,5,,,,,,1,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,5,,,,,,,,90,,
near,phy/vac/cas,1,TM-7,1668.5,3,3,4,7,,,,,,,1,,,,0.5,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,,,30,,,,,,0.5,,65,,
near,phy/vac/cas,1,TM-7,1668.5,3,4,4,7,,,,,,,1,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,35,,,50,,,,,,5,,15,10,
near,phy/vac/cas,1,TM-7,1668.5,3,5,4,7,,,,,,,10,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,20,,,15,,,,,,,,60,,
near,phy/vac/cas,1,TM-7,1668.5,3,6,4,7,,,,,,,25,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,15,,,25,,,,,,,,50,,
near,phy/vac/cas,1,TM-7,1668.5,3,7,4,7,,,,,,,,,0.5,,,,10,25,,,,,,,,,,,,,,1,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,,,40,,,,,,5,10,30,,
near,phy/vac/cas,1,TM-7,1668.5,3,8,4,7,,,,,,,,,,,,,20,10,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,25,,,45,,,,,,,,30,,
near,phy/vac/cas,1,TM-7,1668.5,3,9,4,7,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,,,25,,,,,,,,40,,
near,phy/vac/cas,1,TM-7,1668.5,3,10,4,7,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,30,,,30,,,,,,,,35,,
far,phy/vac/cas,1,TM-8,1668.5,5,1,4,8,,,,,,,,,0.5,,,,5,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,10,,15,30,,,5,,,,,,1,5,,15,
far,phy/vac/cas,1,TM-8,1668.5,5,2,4,8,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,15,,15,10,,,10,,,,,,,,,10,
far,phy/vac/cas,1,TM-8,1668.5,5,3,4,8,,,,,,,,,,,0.5,,1,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,20,,10,15,,,15,,,,,,0.5,,,10,
far,phy/vac/cas,1,TM-8,1668.5,5,4,4,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,5,,15,15,,,5,,,,,,,,,10,
far,phy/vac/cas,1,TM-8,1668.5,5,5,4,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,15,,10,15,,,15,,,,,,0.5,,,10,
far,phy/vac/cas,1,TM-8,1668.5,5,6,4,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,10,,5,10,,,5,,,,,,,,,20,
far,phy/vac/cas,1,TM-8,1668.5,5,7,4,8,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,15,,25,45,,,15,,,,,,,,,25,
far,phy/vac/cas,1,TM-8,1668.5,5,8,4,8,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,5,,30,50,,,25,,,,,,,,,25,
far,phy/vac/cas,1,TM-8,1668.5,5,9,4,8,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,30,,,25,,,,,,,,,45,
far,phy/vac/cas,1,TM-8,1668.5,5,10,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,5,,,20,,,,,,,20,,60,
near,vac/phy/cas,2,BT-9,1698.2,8,1,5,9,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,1,,,,,,,,,,10,,,,10,,,,,,,,50,,
near,vac/phy,2,BT-9,1698.2,8,2,5,9,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,5,,,,,,,,,,,,90,,
near,vac/phy,2,BT-9,1698.2,8,3,5,9,,,,,,,,,,,0.5,,10,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,70,,
near,vac/phy,2,BT-9,1698.2,8,4,5,9,,,,,,,,,,,0.5,,15,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,10,,,,,,,,,,,,60,,
near,vac/phy,2,BT-9,1698.2,8,5,5,9,,,,1,,,,,,,1,,25,,,,,,,,,,,,,,,0.5,,,,0.5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,15,,,,,,,,,,,,40,,
